H07,GH,H07,passive,right
H08,GH,H08,passive,right
H09,GH,H09,passive,right
H10,GH,H10,passive,right
H11,GH,H11,passive,right
H12,GH,H12,passive,right
H13,GH,H13,passive,right
H14,GH,H14,passive,right
H15,GH,H15,passive,right
H16,GH,H16,passive,right
H17,GH,H17,passive,right
H18,GH,H18,passive,right
H19,GH,H19,passive,right
H20,GH,H20,passive,right
H21,GH,H21,passive,right
H22,GH,H22,passive,right
H23,GH,H23,passive,right
H24,GH,H24,passive,right
H25,GH,H25,passive,right
H26,GH,H26,passive,right
H27,GH,H27,passive,right
H28,GH,H28,passive,right
H29,GH,H29,passive,right
H30,GH,H30,passive,right
H31,GH,H31,passive,right
H32,GH,H32,passive,right
H33,GH,H33,passive,right
H34,GH,H34,passive,right
H35,GH,H35,passive,right
H36,GH,H36,passive,right
H37,GH,H37,passive,right
H38,GH,H38,passive,right
H39,GH,H39,passive,right
H40,GH,H40,passive,right
J01,JK,J01,passive,left
J02,JK,J02,passive,left
J03,JK,J03,passive,left
J04,JK,J04,passive,left
J05,JK,J05,passive,left
J06,JK,J06,passive,left
J07,JK,J07,passive,left
J08,JK,J08,passive,left
J09,JK,J09,passive,left
J10,JK,J10,passive,left
J11,JK,J11,passive,left
J12,JK,J12,passive,left
J13,JK,J13,passive,left
J14,JK,J14,passive,left
J15,JK,J15,passive,left
J16,JK,J16,passive,left
J17,JK,J17,passive,left
J18,JK,J18,passive,left
J19,JK,J19,passive,left
J20,JK,J20,passive,left
J21,JK,J21,passive,left
J22,JK,J22,passive,left
J23,JK,J23,passive,left
J24,JK,J24,passive,left
J25,JK,J25,passive,left
J26,JK,J26,passive,left
J27,JK,J27,passive,left
J28,JK,J28,passive,left
J29,JK,J29,passive,left
J30,JK,J30,passive,left
J31,JK,J31,passive,left
J32,JK,J32,passive,left
J33,JK,J33,passive,left
J34,JK,J34,passive,left
J35,JK,J35,passive,left
J36,JK,J36,passive,left
J37,JK,J37,passive,left
J38,JK,J38,passive,left
J39,JK,J39,passive,left
J40,JK,J40,passive,left
K01,JK,K01,passive,right
K02,JK,K02,passive,right
K03,JK,K03,passive,right
K04,JK,K04,passive,right
K05,JK,K05,passive,right
K06,JK,K06,passive,right
K07,JK,K07,passive,right
K08,JK,K08,passive,right
K09,JK,K09,passive,right
K10,JK,K10,passive,right
K11,JK,K11,passive,right
K12,JK,K12,passive,right
K13,JK,K13,passive,right
K14,JK,K14,passive,right
K15,JK,K15,passive,right
K16,JK,K16,passive,right
K17,JK,K17,passive,right
K18,JK,K18,passive,right
K19,JK,K19,passive,right
K20,JK,K20,passive,right
K21,JK,K21,passive,right
K22,JK,K22,passive,right
K23,JK,K23,passive,right
K24,JK,K24,passive,right
K25,JK,K25,passive,right
K26,JK,K26,passive,right
K27,JK,K27,passive,right
K28,JK,K28,passive,right
K29,JK,K29,passive,right
K30,JK,K30,passive,right
K31,JK,K31,passive,right
K32,JK,K32,passive,right
K33,JK,K33,passive,right
K34,JK,K34,passive,right
K35,JK,K35,passive,right
K36,JK,K36,passive,right
K37,JK,K37,passive,right
K38,JK,K38,passive,right
K39,JK,K39,passive,right
K40,JK,K40,passive,right
